Province/State,Country,Lat,Long,ConfirmedCases,RecoveredCases,Deaths,
,Finland,61.92411,25.748151,7362,6920,328,Finland
French Guiana,France,3.9339,-53.1258,6883,5277,39,France
French Polynesia,France,-17.6797,149.4068,62,60,0,France
Guadeloupe,France,16.265,-61.551,195,172,14,France
Mayotte,France,-12.8275,45.166244,2839,2614,38,France
New Caledonia,France,-20.904305,165.618042,22,21,0,France
Reunion,France,-21.1151,55.5364,645,558,3,France
Saint Barthelemy,France,17.9,-62.8333,6,6,0,France
St Martin,France,18.0708,-63.0501,46,39,3,France
Martinique,France,14.6415,-61.0242,262,98,15,France
,France,46.2276,2.2137,204641,71238,30063,France
,Gabon,-0.8037,11.6094,6588,4235,47,Gabon
,Gambia,13.4432,-15.3101,146,57,5,Gambia
,Georgia,42.3154,43.3569,1073,907,16,Georgia
,Germany,51.165691,10.451526,204276,188628,9102,Germany
,Ghana,7.9465,-1.0232,29672,26090,153,Ghana
,Greece,39.0742,21.8243,4077,1374,200,Greece
,Guatemala,15.7835,-90.2308,41135,27756,1573,Guatemala
,Guinea,9.9456,-9.6966,6747,5891,41,Guinea
,Guyana,4.860416,-58.93018,350,165,19,Guyana
,Haiti,18.9712,-72.2852,7167,4095,154,Haiti
,Holy See,41.9029,12.4534,12,12,0,#N/A
,Honduras,15.2,-86.2419,36102,4315,1006,Honduras
,Hungary,47.1625,19.5033,4366,3283,596,Hungary
,Iceland,64.9631,-19.0208,1840,1822,10,Iceland
,India,20.593684,78.96288,1238798,782607,29861,India
,Indonesia,-0.7893,113.9213,91751,50255,4459,Indonesia
,Iran,32.427908,53.688046,281413,244840,14853,Iran
,Iraq,33.223191,43.679291,99865,67147,4042,Iraq
,Ireland,53.1424,-7.6921,25819,23364,1754,Ireland
,Israel,31.046051,34.851612,56085,23310,430,Israel
,Italy,41.87194,12.56738,245032,197628,35082,Italy
,Jamaica,18.1096,-77.2975,816,710,10,Jamaica
,Japan,36.204824,138.252924,27136,20482,990,Japan
,Jordan,31.24,36.51,1120,1035,11,Jordan
,Kazakhstan,48.0196,66.9237,75153,46790,585,Kazakhstan
,Kenya,-0.0236,37.9062,14805,6757,260,Kenya
,South Korea,35.907757,127.766922,13938,12758,297,South Korea
,Kuwait,29.31166,47.481766,61185,51520,417,Kuwait
,Kyrgyzstan,41.20438,74.766098,28980,15536,1111,Kyrgyzstan
,Latvia,56.8796,24.6032,1197,1045,31,Latvia
,Lebanon,33.8547,35.8623,3104,1607,43,Lebanon
,Liberia,6.428055,-9.429499,1114,592,70,Liberia
,Liechtenstein,47.14,9.55,86,81,1,Liechtenstein
,Lithuania,55.1694,23.8813,1951,1607,80,Lithuania
,Luxembourg,49.8153,6.1296,5854,4530,111,Luxembourg
,Madagascar,-18.766947,46.869107,8162,4662,69,Madagascar
,Malaysia,4.210484,101.975766,8831,8566,123,Malaysia
,Maldives,3.2028,73.2207,3103,2397,15,Maldives
